area,year,median_salary,life_satisfaction,mean_salary,population_size,number_of_jobs,area_size,no_of_houses,average_price,houses_sold
barking and dagenham,1999,21480.0,,23620.0,162444.0,,,,65320.833333333336,223.83333333333334
barking and dagenham,2000,22618.0,,24696.0,163893.0,57000.0,,,77549.5,234.41666666666666
barking and dagenham,2001,22323.0,,26050.0,165654.0,54000.0,3780.0,68298.0,88664.0,266.9166666666667
barking and dagenham,2002,24813.0,,26653.0,166357.0,52000.0,3780.0,68526.0,112221.91666666667,287.4166666666667
barking and dagenham,2003,25358.0,,27792.0,166210.0,55000.0,3780.0,68837.0,142499.0,301.25
barking and dagenham,2004,26089.0,,29088.0,165610.0,53000.0,3780.0,68899.0,158176.0,301.3333333333333
barking and dagenham,2005,26680.0,,28728.0,166275.0,53000.0,3780.0,69261.0,163360.91666666666,240.83333333333334
barking and dagenham,2006,26549.0,,28660.0,167157.0,51000.0,3780.0,69529.0,167853.25,304.5
barking and dagenham,2007,30200.0,,31994.0,169031.0,52000.0,3780.0,69835.0,184909.66666666666,332.0833333333333
barking and dagenham,2008,29396.0,,31795.0,172452.0,53000.0,3780.0,70551.0,187356.83333333334,140.66666666666666
barking and dagenham,2009,30973.0,,33126.0,177580.0,47000.0,3780.0,70839.0,156446.91666666666,105.16666666666667
barking and dagenham,2010,28527.0,,32996.0,182838.0,51000.0,3780.0,70946.0,166560.75,121.08333333333333
barking and dagenham,2011,28201.0,7.05,33568.0,187029.0,54000.0,3780.0,71079.0,163465.08333333334,121.5
barking and dagenham,2012,33131.0,7.09,37059.0,190560.0,55000.0,3780.0,71431.0,165863.91666666666,111.83333333333333
barking and dagenham,2013,32248.0,7.01,37214.0,194352.0,54000.0,3780.0,71937.0,173733.66666666666,149.0
barking and dagenham,2014,32698.0,7.32,36323.0,198294.0,59000.0,3780.0,72668.0,201172.25,188.25
barking and dagenham,2015,33018.0,7.45,36705.0,201979.0,62000.0,3780.0,73182.0,233460.08333333334,200.41666666666666
barking and dagenham,2016,30994.0,7.5,37959.0,206460.0,63000.0,3780.0,73914.0,273919.75,183.58333333333334
barking and dagenham,2017,28553.0,7.66,32093.0,210711.0,66000.0,3780.0,74510.0,287734.8333333333,172.5
barking and dagenham,2018,29995.0,7.52,32671.0,211998.0,66000.0,3780.0,74923.0,295196.6666666667,161.08333333333334
barking and dagenham,2019,28738.0,,32010.0,,,,,299294.1666666667,136.49916387959865
barnet,1999,19568.0,,23128.0,313469.0,,,,136004.41666666666,623.9166666666666
barnet,2000,21761.0,,25755.0,315784.0,138000.0,,,167952.66666666666,543.75
barnet,2001,20916.0,,26068.0,319481.0,138000.0,8675.0,130515.0,185563.33333333334,566.9166666666666
barnet,2002,23112.0,,30210.0,320552.0,135000.0,8675.0,130801.0,220746.16666666666,609.5833333333334
barnet,2003,23828.0,,30518.0,321802.0,138000.0,8675.0,131883.0,251212.83333333334,517.3333333333334
barnet,2004,,,30795.0,323723.0,135000.0,8675.0,132856.0,271854.0833333333,557.5833333333334
barnet,2005,27033.0,,31652.0,327541.0,136000.0,8675.0,133902.0,279459.6666666667,448.3333333333333
barnet,2006,26071.0,,30923.0,330801.0,138000.0,8675.0,134941.0,291337.75,562.6666666666666
barnet,2007,27436.0,,33007.0,334837.0,136000.0,8675.0,135429.0,326915.4166666667,571.75
barnet,2008,27978.0,,34468.0,339212.0,140000.0,8675.0,136680.0,330023.3333333333,286.5
